School,Phase 1,2A,2B,2C,2C(S),3
↳ Taken,82,44,1,67,8,-
,,,,,,
,,,,,SC1-2,
Seng Kang,,,,,,
↳ Vacancy (210),150,111,54,163,141,104
↳ Applied,39,9,0,22,37,-
↳ Taken,39,9,0,22,37,-
Sengkang Green,,,,,,
↳ Vacancy (280),220,92,20,45,0,-
↳ Applied,128,121,15,87,-,-
↳ Taken,128,92,15,45,-,-
,,,,,,
,,SC<1,,SC<1,,
Shuqun,,,,,,
↳ Vacancy (200),140,62,25,60,0,-
↳ Applied,78,49,15,97,-,-
↳ Taken,78,49,15,60,-,-
,,,,,,
,,,,SC<1,,
Si Ling,,,,,,
↳ Vacancy (150),90,50,33,100,78,77
↳ Applied,40,10,0,22,1,-
↳ Taken,40,10,0,22,1,-
Singapore Chinese Girls’,,,,,,
↳ Vacancy (192),132,78,21,43,0,-
↳ Applied,54,75,20,58,-,-
↳ Taken,54,75,20,43,-,-
,,,,,,
,,,,SC<1,,
South View,,,,,,
↳ Vacancy (270),210,89,20,40,0,-
↳ Applied,121,105,34,128,-,-
↳ Taken,121,89,20,40,-,-
,,,,,,
,,SC1-2,SC<1,SC<1,,
Springdale,,,,,,
↳ Vacancy (280),220,118,40,121,53,0
↳ Applied,102,57,0,68,68,-
↳ Taken,102,57,0,68,53,-
,,,,,,
,,,,,SC<1,
St. Andrew’s Junior,,,,,,
↳ Vacancy (240),180,125,45,103,0,-
↳ Applied,55,49,36,113,-,-
↳ Taken,55,49,36,103,-,-
,,,,,,
,,,,SC>2,,
St. Anthony’s Canossian,,,,,,
↳ Vacancy (210),150,124,58,165,129,96
↳ Applied,26,11,8,36,33,-
↳ Taken,26,11,8,36,33,-
St. Anthony’s,,,,,,
↳ Vacancy (240),180,110,42,102,0,-
↳ Applied,70,44,24,114,-,-
↳ Taken,70,44,24,102,-,-
,,,,,,
,,,,SC1-2,,
St. Gabriel’s,,,,,,
↳ Vacancy (150),90,64,37,77,27,0
↳ Applied,26,13,34,52,43,-
↳ Taken,26,13,34,52,27,-
,,,,,,
,,,,,SC>2,
St. Hilda’s,,,,,,
↳ Vacancy (270),210,103,20,40,0,-
↳ Applied,107,113,36,136,-,-
↳ Taken,107,103,20,40,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
St. Joseph’s Institution Junior,,,,,,
↳ Vacancy (240),180,127,44,88,0,-
↳ Applied,53,56,85,98,-,-
↳ Taken,53,56,44,88,-,-
,,,,,,
,,,SC1-2,SC>2,,
St. Margaret’s,,,,,,
↳ Vacancy (192),132,106,46,122,44,0
↳ Applied,26,28,17,78,46,-
↳ Taken,26,28,17,78,44,-
,,,,,,
,,,,,PR>2,
St. Stephen’s,,,,,,
↳ Vacancy (240),180,150,62,160,102,36
↳ Applied,30,23,28,58,66,-
↳ Taken,30,23,28,58,66,-
Tampines North,,,,,,
↳ Vacancy (240),180,96,46,138,91,0
↳ Applied,84,18,0,47,127,-
↳ Taken,84,18,0,47,91,-
,,,,,,
,,,,,SC1-2,
Tampines,,,,,,
↳ Vacancy (240),180,103,34,102,10,0
↳ Applied,77,62,0,92,53,-
↳ Taken,77,62,0,92,10,-
,,,,,,
,,,,,SC<1,
Tanjong Katong,,,,,,
↳ Vacancy (200),140,69,32,87,0,-
↳ Applied,71,33,13,108,-,-
↳ Taken,71,33,13,87,-,-
,,,,,,
,,,,SC1-2,,
Tao Nan,,,,,,
↳ Vacancy (360),300,117,20,41,0,-
↳ Applied,183,138,68,95,-,-
↳ Taken,183,117,20,41,-,-
,,,,,,
,,SC>2,SC<1,SC<1,,
Teck Ghee,,,,,,
↳ Vacancy (180),120,44,29,84,20,0
↳ Applied,76,16,5,64,22,-
↳ Taken,76,16,5,64,20,-
,,,,,,
,,,,,SC#,
Teck Whye,,,,,,
↳ Vacancy (210),150,106,48,143,124,98
↳ Applied,44,21,2,19,26,-
↳ Taken,44,21,2,19,26,-
Telok Kurau,,,,,,
↳ Vacancy (240),180,109,46,138,82,50
↳ Applied,71,33,0,56,32,-
↳ Taken,71,33,0,56,32,-
Temasek,,,,,,
↳ Vacancy (200),140,56,20,48,0,-
↳ Applied,84,59,12,116,-,-
↳ Taken,84,56,12,48,-,-
,,,,,,
,,SC>2,,SC<1,,
Townsville,,,,,,
↳ Vacancy (150),90,61,35,104,77,64
↳ Applied,30,17,1,27,13,-
↳ Taken,30,17,1,27,13,-
Unity,,,,,,
↳ Vacancy (150),90,38,29,88,44,41
↳ Applied,52,10,0,44,3,-
↳ Taken,52,10,0,44,3,-
Valour,,,,,,
↳ Vacancy (280),220,107,28,84,0,-
↳ Applied,113,82,1,102,-,-
↳ Taken,113,82,1,84,-,-
,,,,,,
,,,,SC<1,,
Waterway,,,,,,
↳ Vacancy (280),220,120,40,120,43,13
↳ Applied,100,61,1,77,30,-
↳ Taken,100,61,1,77,30,-
Wellington,,,,,,
